Date,Open,High,Low,Close,Adj Close,Volume
2019-07-12,65.485718,66.657143,65.314285,66.385712,65.678421,4544834
2019-07-15,66.385712,67.357140,66.385712,67.142860,66.427513,3464062
2019-07-16,66.828568,68.114288,66.628571,67.785713,67.063515,4039119
2019-07-17,67.442856,68.257141,67.099998,67.657143,66.936310,4521055
2019-07-18,67.314285,67.785713,66.842857,67.171425,66.455772,3112256
2019-07-19,67.642860,68.971428,67.442856,68.871429,68.137657,4823994
2019-07-22,68.757141,69.471428,68.342857,69.228569,68.490990,2971598
2019-07-23,69.599998,70.914284,69.414284,70.328568,69.579277,6097133
2019-07-24,70.371429,70.771431,70.000000,70.514282,69.763008,2867480
2019-07-25,70.714287,70.814285,67.714287,68.085716,67.360313,5524813
2019-07-26,68.114288,70.199997,65.085716,66.971428,66.257896,6638723
2019-07-29,66.742859,68.000000,66.285713,67.728569,67.006973,3689770
2019-07-30,67.757141,68.014282,66.771431,67.342857,66.625366,2103290
2019-07-31,67.014282,67.471428,66.257141,67.142860,66.427513,4923940
2019-08-01,66.642860,67.542854,66.000000,67.428574,66.710175,3431848
2019-08-02,65.714287,66.157143,64.528572,65.199997,64.505341,4442935
2019-08-06,62.714287,63.857143,62.414284,62.957142,62.286385,5420289
2019-08-07,63.299999,64.414284,63.028572,63.642857,62.964790,6053999
2019-08-08,64.471428,65.142860,64.342857,65.128571,64.434669,3532284
2019-08-09,64.771431,64.957146,64.042854,64.042854,63.360523,3632986
2019-08-12,64.114288,65.028572,64.000000,64.185715,63.501865,2209522
2019-08-13,63.942856,64.142860,62.185715,63.885715,63.205063,5045810
2019-08-14,64.042854,64.042854,61.542858,61.614285,60.957832,5205193
2019-08-15,61.928570,62.200001,60.285713,61.357143,60.703430,4882367
2019-08-16,61.671429,63.271427,61.671429,62.328571,61.664509,4029494
2019-08-19,63.128571,63.585712,62.942856,63.242859,62.569057,2444127
2019-08-20,63.085712,64.000000,62.900002,63.142857,62.470119,3096541
2019-08-21,63.142857,64.314285,63.142857,63.700001,63.021328,2538277
2019-08-22,63.514286,64.171425,63.000000,63.571426,62.894123,2711254
2019-08-23,64.000000,64.671425,62.857143,62.942856,62.272247,3538738
2019-08-26,62.514286,62.785713,61.614285,62.428570,61.763443,4297643
2019-08-27,62.414284,62.828571,61.842857,62.599998,61.933044,3575971
2019-08-28,62.557140,62.557140,59.971428,60.842857,60.194622,6332634
2019-08-29,60.871429,61.799999,60.842857,61.799999,61.141567,5418868
2019-08-30,62.057140,62.671429,61.771427,62.285713,61.622105,6306412
2019-09-02,62.242859,62.671429,61.285713,61.442856,60.788231,5729024
2019-09-03,61.428570,61.557140,60.642857,61.057140,60.406624,5126702
2019-09-04,61.757141,62.042858,61.228573,62.028572,61.367706,6607979
2019-09-05,62.371429,62.528572,60.528572,62.185715,61.523174,6346543
2019-09-06,62.228573,62.257141,61.285713,61.971428,61.311172,5656707
2019-09-09,62.042858,63.728573,61.957142,63.728573,63.049595,4116728
2019-09-10,63.599998,64.628571,63.271427,64.585716,63.897606,5860064
2019-09-11,64.900002,68.257141,64.785713,68.228569,67.501648,8365497
2019-09-12,68.699997,70.400002,68.614288,70.285713,69.536873,12504744
2019-09-13,70.000000,70.685715,69.857140,70.500000,69.748871,4928763
2019-09-16,70.328568,71.157143,69.671425,71.099998,70.342491,5646592
2019-09-17,70.914284,70.914284,68.300003,69.900002,69.155266,10706668
2019-09-18,68.471428,69.871429,68.271431,69.528572,68.787804,6747328
2019-09-19,69.485718,69.771431,68.614288,68.985718,68.250725,5976145
2019-09-20,69.014282,69.128571,67.300003,67.614288,66.893913,7887292
2019-09-23,67.428574,67.514282,65.742859,66.257141,65.551224,6670489
2019-09-24,66.285713,66.628571,65.814285,66.428574,65.720833,4994472
2019-09-25,66.171425,66.171425,64.714287,65.414284,64.717346,3623473
2019-09-26,64.714287,66.685715,64.714287,65.914284,65.212021,5586896
2019-09-27,66.271431,68.028572,65.771431,67.800003,67.077644,6084554
2019-09-30,67.671425,68.271431,67.471428,67.800003,67.077644,5672954
2019-10-01,67.900002,68.514282,66.714287,67.085716,66.370964,6018194
2019-10-02,66.800003,66.857140,65.014282,65.185715,64.491211,3654840
2019-10-03,65.142860,65.542854,64.371429,64.771431,64.081337,6558405
2019-10-04,63.528572,64.285713,63.071426,63.757141,63.077858,5622099
2019-10-07,63.714287,63.928570,62.871429,63.414284,62.738651,5612341
2019-10-08,63.557140,63.928570,62.942856,63.028572,62.357052,4274592
2019-10-09,62.871429,63.142857,62.000000,62.571426,61.904778,6531035
2019-10-10,62.142857,63.171429,61.685715,63.071426,62.399452,5701976
2019-10-11,63.557140,65.242859,63.414284,65.157143,64.462944,5946682
2019-10-14,65.199997,65.285713,63.342857,64.571426,63.883465,4324299
2019-10-15,63.428570,65.128571,62.971428,64.714287,64.024811,8405348
2019-10-16,64.714287,66.085716,64.199997,65.514282,64.816277,6723185
2019-10-17,65.557144,66.442856,65.428574,65.742859,65.042419,3748801
2019-10-18,65.285713,66.057144,64.971428,65.785713,65.084824,4131652
2019-10-21,65.871429,68.514282,65.714287,68.400002,67.671249,5488329
2019-10-22,68.228569,68.957146,67.900002,67.900002,67.176575,5101054
2019-10-23,67.414284,67.842857,66.428574,67.842857,67.120049,5610122
